group_id,orf,strain_id,col,row,plate
gi-765,YOR202W,DMA1,21,16,Plate01_2012-06-11
gi-766,YOR202W,DMA1,22,1,Plate01_2012-06-11
gi-780,YOR202W,DMA1,22,16,Plate01_2012-06-11
gi-782,YOR202W,DMA1,23,1,Plate01_2012-06-11
gi-795,YOR202W,DMA1,23,16,Plate01_2012-06-11
gi-1003,YBL046W,DMA127,13,5,Plate01_2012-06-11
gi-1016,YAL008W,DMA19,14,3,Plate01_2012-06-11
gi-1020,YAL042W,DMA43,14,7,Plate01_2012-06-11
gi-1042,YBR217W,DMA368,15,14,Plate01_2012-06-11
gi-1049,YBR034C,DMA212,16,4,Plate01_2012-06-11
gi-8047,YNR035C,TSA470,7,8,TS4-CD-37_2012-06-19
gi-8049,YER155C,DMA1444,7,12,TS4-CD-37_2012-06-19
gi-8052,YDR182W,TSA413,8,2,TS4-CD-37_2012-06-19
gi-8152,YAL041W,TSA304,16,14,TS4-CD-37_2012-06-19
gi-8189,YAL041W,TSA148,21,8,TS4-CD-37_2012-06-19
